FEA Run,Global Fitness
1,3.63860689634824
2,0.23124552958860933
3,0.011904887681847942
4,0.0014384734698507096
5,0.0006848948227760054
6,0.00036256589852756704
7,2.8576827628246093e-05
8,7.890623081596715e-06
9,1.032870944772668e-06
10,2.041365161353781e-07
11,1.1385485665371675e-07
12,5.4618574996112557e-08
13,5.546685333257528e-09
14,4.3985370901111764e-09
15,1.6998815688396007e-09
16,5.734226427023259e-10
17,1.2256551329414833e-10
18,5.7547300258420364e-11
19,1.865574361659128e-11
20,2.021938172447335e-12
21,1.993516463016931e-12
22,8.744116541947733e-13
23,3.9834802123550617e-13
24,3.7347902548390266e-13
25,9.992007221626409e-14
26,4.3076653355456074e-14
27,2.886579864025407e-14
28,2.1760371282653068e-14
29,2.1760371282653068e-14
30,2.1760371282653068e-14
31,2.1760371282653068e-14
32,2.1760371282653068e-14
33,2.1760371282653068e-14
34,2.1760371282653068e-14
35,2.1760371282653068e-14
36,2.1760371282653068e-14
37,2.1760371282653068e-14
38,2.1760371282653068e-14
39,2.1760371282653068e-14
40,2.1760371282653068e-14
41,2.1760371282653068e-14
42,2.1760371282653068e-14
43,2.1760371282653068e-14
44,2.1760371282653068e-14
45,2.1760371282653068e-14
46,2.1760371282653068e-14
47,2.1760371282653068e-14
48,2.1760371282653068e-14
49,2.1760371282653068e-14
50,2.1760371282653068e-14
