FEA Run,Global Fitness
1,0.9424272564073795
2,0.5895016847144214
3,0.02136681877462865
4,0.0001196832363500322
5,4.432767467532628e-06
6,2.771529070688672e-07
7,6.470976643413451e-09
8,4.212914461731998e-10
9,1.0722200904922374e-11
10,3.365641099151162e-12
11,6.439293542825908e-15
12,3.219646771412954e-15
13,3.3306690738754696e-16
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
