FEA Run,Global Fitness
1,-1815.22114626769
2,-3707.965933280561
3,-3847.220893638394
4,-4228.822343538458
5,-4390.490236505943
6,-4497.398630465232
7,-4499.463433019874
8,-4499.4634944547415
9,-4499.463494468968
10,-4499.463494469673
11,-4499.463494469675
12,-4499.463494469676
13,-4499.463494469676
14,-4499.463494469676
15,-4499.463494469676
16,-4499.463494469676
17,-4499.463494469676
18,-4499.463494469676
19,-4499.463494469676
20,-4499.463494469676
21,-4499.463494469676
22,-4499.463494469676
23,-4499.463494469676
24,-4499.463494469676
25,-4499.463494469676
26,-4499.463494469676
27,-4499.463494469676
28,-4499.463494469676
29,-4499.463494469676
30,-4499.463494469676
31,-4499.463494469676
32,-4499.463494469676
33,-4499.463494469676
34,-4499.463494469676
35,-4499.463494469676
36,-4499.463494469676
37,-4499.463494469676
38,-4499.463494469676
39,-4499.463494469676
40,-4499.463494469676
41,-4499.463494469676
42,-4499.463494469676
43,-4499.463494469676
44,-4499.463494469676
45,-4499.463494469676
46,-4499.463494469676
47,-4499.463494469676
48,-4499.463494469676
49,-4499.463494469676
50,-4499.463494469676
