FEA Run,Global Fitness
1,0.005807677455695366
2,0.0001260980970610937
3,2.1977370049002924e-06
4,1.0116260327956852e-07
5,1.8772857959269795e-08
6,3.7373432831029864e-10
7,1.4312831733084029e-11
8,3.212254647349689e-13
9,4.847708577274927e-14
10,4.066059125195827e-15
11,2.291363095438009e-16
12,4.530851980341213e-17
13,5.943354355379838e-18
14,1.0816559746031812e-18
15,4.9844555748508665e-20
16,2.4713074717800598e-20
17,6.322324862603193e-22
18,2.0871949709070527e-22
19,1.506304079221111e-22
20,1.3347377830614153e-23
21,6.553702028279326e-24
22,3.850211598845756e-25
23,2.4399643666831575e-26
24,1.5195695839272437e-26
25,2.1905855015079247e-27
26,1.1276093306624081e-27
27,1.066457780807122e-28
28,6.0689095274529176e-30
29,2.3165380600988424e-30
30,1.9373192278762687e-31
31,1.260042130162937e-31
32,2.6163881697072184e-32
33,3.0121306629856588e-33
34,1.3220517563872356e-33
35,1.0674081480299259e-33
36,6.633707906306478e-35
37,8.871928644376808e-36
38,4.8545755862984646e-36
39,1.0978297737943135e-36
40,9.155269327328205e-38
41,1.886112774176237e-38
42,1.2966518771892598e-38
43,5.4393458516530795e-39
44,6.874172374049847e-40
45,1.793183037608533e-40
46,6.049484401694078e-41
47,8.688941653188257e-42
48,7.558789609712469e-42
49,2.785272111799092e-42
50,9.555359460271492e-43
